Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,HS USB,Multi-Mode UART,RCOSC_50MHZ
CoreMemCtrl_C0_0/CoreMemCtrl_C0_0/Primitives,349,77,0,0,0,0,0,0,0,0,0,0,0
Dev_Restart_after_IAP_blk_0/Ram_intferface_0/Primitives,84,64,0,0,0,0,0,0,0,0,0,0,0
Dev_Restart_after_IAP_blk_0/TPSRAM_C0_0/TPSRAM_C0_0/Primitives,0,0,36,36,0,1,0,0,0,0,0,0,0
Primitives/Primitives,26,0,0,0,34,0,0,0,0,0,0,0,0
teste_sb_0/CCC_0/Primitives,0,0,0,0,0,0,1,1,0,0,0,0,0
teste_sb_0/CORERESETP_0/Primitives,2,9,0,0,0,0,0,1,0,0,0,0,0
teste_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,78,38,0,0,0,0,0,0,0,0,0,0,0
teste_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,5,1,0,0,0,0,0,0,0,0,0,0,0
teste_sb_0/CoreAHBLite_0/matrix4x16/slavestage_0/Primitives,57,1,0,0,0,0,0,0,0,0,0,0,0
teste_sb_0/CoreAHBLite_0/matrix4x16/slavestage_0/slave_arbiter/Primitives,35,3,0,0,0,0,0,0,0,0,0,0,0
teste_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,0,0,1
teste_sb_0/Primitives,0,0,0,0,0,0,0,1,0,0,0,0,0
teste_sb_0/teste_sb_MSS_0/Primitives,0,0,0,0,4,0,0,0,1,0,0,0,0
