
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. teste, 193, 599, 37, 0, 0, 1, 0, 3, 38
.	. CoreMemCtrl_C0, 77, 347, 2, 0, 0, 0, 0, 0, 0
.	.	. CoreMemCtrl_Z1, 77, 347, 2, 0, 0, 0, 0, 0, 0
.	. Dev_Restart_after_IAP_blk, 64, 49, 35, 0, 0, 1, 0, 0, 0
.	.	. Ram_intferface, 64, 49, 35, 0, 0, 0, 0, 0, 0
.	.	. TAMPER_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. TAMPER_C0_TAMPER_C0_0_TAMPER, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. TPSRAM_C0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. TPSRAM_C0_TPSRAM_C0_0_TPSRAM, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	. teste_sb, 52, 178, 0, 0, 0, 0, 0, 3, 4
.	.	. CoreAHBLite_Z5, 43, 175, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_2_1_0_1_0_0_0_0s, 43, 175, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_2_1_0_1_0s_0_1_0, 39, 83, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 4, 92, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_0, 3, 35, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z6, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. teste_sb_CCC_0_FCCC, 0, 1, 0, 0, 0, 0, 0, 1, 0
.	.	. teste_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. teste_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 4
